,CIDADE,POPULAÇÃO,IDHM 2010
PR,Terra Boa,18.168,"0,671"
PR,Terra Rica,14.961,"0,734"
PR,Terra Roxa,18.636,"0,728"
PR,Tibagi,20.374,"0,71"
PR,Tijucas do Sul,18.458,"0,714"
PR,Toledo,160.701,"0,664"
PR,Tomazina,8.523,"0,636"
PR,Três Barras do Paraná,11.157,"0,768"
PR,Tunas do Paraná,6.304,"0,699"
PR,Tuneiras do Oeste,8.067,"0,681"
PR,Tupãssi,8.208,"0,611"
PR,Turvo,14.101,"0,695"
PR,Ubiratã,25.732,"0,73"
PR,Umuarama,123.059,"0,672"
PR,União da Vitória,56.560,"0,739"
PR,Uniflor,2.106,"0,761"
PR,Uraí,10.308,"0,74"
PR,Wenceslau Braz,19.398,"0,72"
PR,Ventania,9.760,"0,721"
PR,Vera Cruz do Oeste,8.178,"0,65"
PR,Verê,8.077,"0,699"
PR,Alto Paraíso,3.067,"0,72"
PR,Doutor Ulysses,5.744,"0,722"
PR,Virmond,3.828,"0,702"
PR,Vitorino,10.549,"0,687"
PR,Xambrê,5.835,"0,706"
