numprocesso;ano;modalidade;numcontrato;anocontrato;orgao
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9302;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9306;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9312;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9324;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9336;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9338;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9342;2024;UENP - Universidade Estadual do Norte do Paraná
200;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9344;2024;UENP - Universidade Estadual do Norte do Paraná
203;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9429;2024;UENP - Universidade Estadual do Norte do Paraná
204;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9198;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
205;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9083;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
206;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1422;2025;UNIOESTE CASC - Universidade Estadual do Oeste do Paraná - Campus Cascavel
207;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);1049;2025;IAT - Instituto Água e Terra (Antigo IAP)
208;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3826;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
208;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);3826;2025;SESP - Secretaria de Estado da Segurança Pública
209;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2491;2025;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
209;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);2491;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
210;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9182;2024;UEL - Universidade Estadual de Londrina
212;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);174;2025;UEM - Universidade Estadual de Maringá
213;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9376;2024;UENP - Universidade Estadual do Norte do Paraná
213;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9379;2024;UENP - Universidade Estadual do Norte do Paraná
213;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9383;2024;UENP - Universidade Estadual do Norte do Paraná
214;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9535;2024;UEM - Universidade Estadual de Maringá
215;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);8732;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
217;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);9167;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
219;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);4123;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
