cod_ibge,municipio,ano,populacao,total_despesas,total_pc,saude,educacao,administracao,saude_prop,educacao_prop,hhi,n_funcoes_declaradas,flag_negativo,score_if,score_lof,score,classe
4113601,Lobato,2024,4693,50219486.03,10700.934589814618,11318445.37,7440656.05,5399081.39,0.22537955412842361,0.14816272802065553,0.14655150555002652,17,False,0.3386102219193789,0.05854694494721683,0.22658491113051404,Suspeita
4113601,Lobato,2025,4707,49826475.27,10585.61191204589,12221157.52,8800746.6,6575358.72,0.2452743737897557,0.17662791823644883,0.13926561146940902,18,False,0.4100554024118923,0.03041302008538224,0.2581984494812883,Suspeita
4113700,Londrina,2020,575377,2199665070.5500007,3822.9979136288043,799692232.1,387482015.76,113194677.39,0.3635518165045219,0.17615500693617625,0.2047293103077892,21,False,0.2298825398052723,0.006914389053843573,0.14069527950470082,Regular
4113700,Londrina,2021,580870,2413536125.450001,4155.036626870041,840178592.19,453084538.43,120220881.26,0.34811104890064565,0.18772643742613257,0.1971220075550622,21,False,0.25992360569695294,0.010782067217893446,0.16026699030532912,Regular
4113700,Londrina,2022,579686,2617493077.0899997,4515.363622875142,799072837.83,592146608.24,147932388.08,0.3052817387843371,0.22622661867679877,0.1862045058035934,21,False,0.28027282426423245,0.017126496892748082,0.1750142933156387,Regular
4113700,Londrina,2023,578502,3101003671.76,5360.402680993325,910734530.33,677692270.28,147905633.37,0.2936902457174793,0.21853965425825186,0.1780266073507317,22,False,0.30419974760908375,0.05449193654458033,0.2043166231832824,Regular
4113700,Londrina,2024,577318,3357834183.4900002,5816.264491129672,985850370.46,747663633.81,157945931.74,0.2935970975896571,0.22266246424143193,0.17995480930481195,22,False,0.33507621597983384,0.04189762601238496,0.21780477999285427,Suspeita
4113734,Luiziana,2020,7240,28589430.119999997,3948.816314917127,9088583.69,7358184.6,3672836.08,0.31790013483486673,0.25737430124053134,0.20205733062526582,13,False,0.1219245184879448,0.0026942101563330366,0.07423239515530008,Regular
4113734,Luiziana,2021,7217,29366803.419999994,4069.1150644312033,9220898.45,7261404.5,3273378.07,0.3139905395260075,0.24726574411754623,0.19573013039073617,12,False,0.09225332402276566,0.005467560830377212,0.05753901874581028,Regular
4113734,Luiziana,2022,7043,44956939.5,6383.20878886838,11938509.05,12673328.01,4269250.46,0.2655543100303792,0.2818992607359315,0.18154886134009135,14,False,0.16749572548585182,0.003287762045290567,0.10181254010962731,Regular
4113734,Luiziana,2023,6870,53934019.4,7850.657845705968,13630813.3,12225389.69,6251844.1,0.2527312714987454,0.2266730687978356,0.1546717380647773,15,False,0.13798741712649754,0.004051532299999759,0.08441306319589842,Regular
4113734,Luiziana,2024,6696,71312979.59,10650.086557646357,16303947.23,13660412.61,8040348.69,0.22862524218923888,0.19155576850859218,0.14234717722827372,15,False,0.2507253677192988,0.009868970157535229,0.1543828086945934,Regular
